genotypes-garri,LOCATION,fresh ROOT WT. , WT OF PEELED ROOT. ,WT OF PEEL,WT OF DEWATERED MASH  ,WT OF CHAFF,TOASTED GARRI,GARRI YIELD%,garri.yield.plot,peeled.tuber.plot.kg,dewatered.mash.plot,chaff.plot,peel.plot,fresh.storage.root.weight.harvested,fresh weight per.netplot.kg,fry.ha,marketable.root.number,marketable.root.weight.kg,plant.stands.harvested,root.color,root.number,storage.root.shape,weight.in.air,weight.in.water,spg,dmc,starch,dmcov
NR17C2aF89P084,umudike,4,3,0.8,2,0.12,1.1,27.5,3.26,8.88,5.92,0.35,2.37,7.4,11.8,14.8,10,6.4,5,1,17,4,2220,270,1.14,38.22,26.59,43.11
NR17C2aF90P008,umudike,8.4,6.7,2,3.2,0.27,1.7,20.24,3.53,13.91,6.64,0.56,4.15,10.9,17.4,21.8,12.5,8.5,5,1.5,30.5,2,2740,230,1.09,30.81,16.72,37.98
NR17C2aF97P002,umudike,9.1,7.1,2,4.6,0.23,2.8,30.77,4.48,11.36,7.36,0.37,3.2,9.1,14.6,18.2,15.5,8,5,1,24.5,2.5,3570,420,1.13,37.44,25.55,45.28
NR17C2aF99P002,umudike,7.5,6,1.7,2.8,0.14,1.8,24,4.12,13.73,6.41,0.32,3.89,11.8,17.2,21.5,10,8.5,5.5,1.5,36.5,3,2985,325,1.12,35.77,23.33,36.61
TMEB419,umudike,9,6.7,2.2,3.8,0.08,2.2,24.44,2.07,6.3,3.57,0.08,2.07,7.4,8.5,10.6,12,5.2,7,1,28,1,3250,260,1.09,30.07,15.73,43.11
TMEB7,umudike,4.4,3.2,1.18,1.65,0.09,0.82,18.64,1.58,6.15,3.17,0.17,2.27,7.4,8.5,10.6,12,5.2,7,1,28,1,3250,260,1.09,30.07,15.73,39.78
IITA-TMS-IBA-30572,OTOBI,6.7,5,1.76,3.9,0.7,2.7,40.30,9.24,17.11,13.35,2.40,6.02,4.3,22.93,5.375,8,6,1.5,1,7.5,2,1985,240,1.13,36.76,24.80,45.08
NR17C2aF10P002,OTOBI,10,6,3.8,4.2,0.7,1.8,18.00,5.95,19.84,13.89,2.31,12.57,18.6,33.07,23.25,20,15.5,4.5,2.5,36.5,2.5,4035,430,1.12,34.94,22.38,40.05
NR17C2aF10P006,OTOBI,10,5.8,3.2,4,1.2,2,20.00,3.66,10.62,7.32,2.20,5.86,10.3,18.31,12.875,16,8.1,4.5,1,29,3,2935,350,1.13,37.41,25.66,45.14
NR17C2aF10P017,OTOBI,10,6.9,3.4,5.2,1.4,2.6,26.00,5.78,15.33,11.56,3.11,7.56,12.5,22.22,15.625,19.5,11.5,4.5,2,28.5,3,3190,415,1.15,39.90,28.98,46.39
NR17C2aF10P025,OTOBI,9.2,5.4,3.6,4,1.3,1.6,17.39,6.26,21.13,15.65,5.09,14.09,9,36.00,11.25,16,8.8,2,2,18,3,1710,200,1.13,37.15,25.32,42.39
NR17C2aF114P002,OTOBI,10,6.45,3.55,4.5,1,2.1,21.00,5.04,15.48,10.80,2.40,8.52,7.5,24.00,9.375,9.5,5.8,2.5,1,16,3,2360,280,1.13,37.48,25.76,43.14
NR17C2aF121P001,OTOBI,10,7.2,2.6,5.1,0.9,2.2,22.00,14.08,46.08,32.64,5.76,16.64,8,64.00,10,12.5,7.4,1,2.5,15.5,1,3030,365,1.14,37.91,26.33,35.92
NR17C2aF12P001,OTOBI,10,6.8,2.99,4.5,0.65,2.2,22.00,4.73,14.63,9.68,1.40,6.43,12.1,21.51,15.125,13.5,9.9,4.5,1,23,3,2635,395,1.18,45.25,36.11,44.91
NR17C2aF13P001,OTOBI,10,5.7,4.3,4,1.3,1.8,18.00,3.70,11.73,8.23,2.67,8.85,18,20.57,22.5,22,16.2,7,2.5,30,3,3075,380,1.14,37.90,26.31,42.89
NR17C2aF15P016,OTOBI,6.2,4.1,1.9,3,0.6,1,16.13,3.78,15.52,11.35,2.27,7.19,4.4,23.47,5.5,5,3.8,1.5,1,6,1,2065,195,1.11,33.80,20.86,49.85
NR17C2aF16P013,OTOBI,10,7.4,2.4,5.8,1.1,2.4,24.00,5.86,18.06,14.15,2.68,5.86,12.2,24.40,15.25,13,11.1,4,1,16,3,2845,375,1.15,40.62,29.94,47.51
NR17C2aF21P004,OTOBI,10,7.2,2.8,5.5,1,2.2,22.00,6.86,22.46,17.16,3.12,8.74,23.4,31.20,29.25,22,17.2,6,2,35,3,3000,410,1.16,41.24,30.77,41.21
